Mois;Gare;Prévues;Assurées;Pourcentage de correspondances assurées
2023-12;BRUGGE;14266;13335;93.47399411187438
2023-12;MECHELEN;33330;29778;89.34293429342934
2023-12;MONS;8967;8171;91.12300657968106
2024-01;CHARLEROI-SUD;14802;13355;90.2242940143224
2024-01;GENT-SINT-PIETERS;52623;47128;89.55779792106114
2024-01;LEUVEN;46316;40957;88.42948441143449
2024-01;NAMUR;21339;18858;88.37340081540842
2024-02;BRUGGE;13803;12962;93.90712164022314
2024-02;CHARLEROI-SUD;15212;14166;93.12384959242704
2024-02;GENT-SINT-PIETERS;50574;45784;90.52873017756158
2024-02;LEUVEN;40888;36174;88.47094502054392
2024-03;LEUVEN;46839;42396;90.51431499391532
2024-03;MECHELEN;42503;38635;90.8994659200527
2024-03;ZOTTEGEM;7838;7345;93.71013013523857
2024-04;BRUGGE;14540;13630;93.74140302613479
2024-04;MONS;6956;6350;91.28809660724554
2024-05;ANTWERPEN-CENTRAAL;49068;42392;86.3943914567539
2024-05;GENT-SINT-PIETERS;50591;46581;92.0736889960665
2024-05;LIEGE-GUILLEMINS;36158;31419;86.89363349742796
2016-01;BRUGGE;17690;16603;93.8552854720181
2016-01;GENT-SINT-PIETERS;49719;44789;90.08427361773165
2016-01;LEUVEN;35654;32540;91.26605710439222
2016-01;LIEGE-GUILLEMINS;30700;27886;90.83387622149837
2016-01;MECHELEN;40611;37256;91.73869148752802
2016-01;MONS;7759;7089;91.36486660652146
2016-02;BRUGGE;16567;15565;93.95183195509145
2016-02;LIEGE-GUILLEMINS;32223;29459;91.42227601402725
2016-02;ZOTTEGEM;5854;5305;90.62179706183807
2016-03;ANTWERPEN-CENTRAAL;35644;33240;93.25552687689373
2016-03;CHARLEROI-SUD;17817;16218;91.02542515575013
2016-03;GENT-SINT-PIETERS;49575;45370;91.51790216843166
2016-04;ANTWERPEN-CENTRAAL;34736;32718;94.19046522339936
2016-04;GENT-SINT-PIETERS;49523;45430;91.73515336308382
2016-04;LIEGE-GUILLEMINS;31508;28232;89.6026405992129
2016-04;MECHELEN;39728;37579;94.5907168747483
2016-05;CHARLEROI-SUD;13136;11849;90.20249695493301
2016-05;ZOTTEGEM;5111;4543;88.8867149285854
2016-06;GENT-SINT-PIETERS;51219;45329;88.50036119408813
2016-06;MECHELEN;38716;34986;90.3657402624238
2016-06;ZOTTEGEM;5764;5128;88.96599583622485
2016-07;CHARLEROI-SUD;15490;14402;92.97611362169141
2016-07;GENT-SINT-PIETERS;51154;47831;93.5039293114908
2016-07;LEUVEN;35998;33972;94.37190955053059
2016-07;ZOTTEGEM;4861;4416;90.8455050401152
2016-08;MECHELEN;40436;38481;95.16519932733209
2016-09;ANTWERPEN-CENTRAAL;35082;32374;92.28094179351234
2016-09;GENT-SINT-PIETERS;52236;48144;92.16632207672869
2016-09;LEUVEN;39770;36889;92.75584611516217
2016-09;MECHELEN;40922;38121;93.15527100337226
2016-09;MONS;8282;7623;92.04298478628351
