Mois;Instant;Instant;Instant;Ponctualité;Nombre de trains comptabilisés;Nombre de trains arrivant avec moins de 6 min. de retard à Bruxelles;Minutes de retard
2017-09;Avondspits;Pointe du soir;Evening peak hour;86.62572500852951;2931;2539;8568
2017-10;Ochtendspits;Pointe du matin;Morning peak hour;66.04534005037783;3970;2622;21190
2017-10;Weekends;Weekends;Weekends;86.88668866886688;4545;3949;11984
2017-11;Weekends;Weekends;Weekends;86.9941571088509;4621;4020;12325
2017-11;Daluren;Heures creuses;Off-peak hours;85.04549068103525;11321;9628;34584
2018-01;Weekends;Weekends;Weekends;90.89800893945551;4922;4474;8883
2018-01;Daluren;Heures creuses;Off-peak hours;90.21865164816963;12074;10893;25992
2018-02;Avondspits;Pointe du soir;Evening peak hour;86.72951414068166;2758;2392;7576
2018-03;Weekends;Weekends;Weekends;87.52466564349923;4561;3992;11375
2018-04;Avondspits;Pointe du soir;Evening peak hour;87.3319179051663;2826;2468;7669
2018-05;Ochtendspits;Pointe du matin;Morning peak hour;78.86375875067313;3714;2929;13109
2018-05;Daluren;Heures creuses;Off-peak hours;88.03901905369678;10969;9657;27539
2018-07;Avondspits;Pointe du soir;Evening peak hour;85.09777478084963;2966;2524;8998
2018-08;Weekends;Weekends;Weekends;95.59356136820925;4970;4751;5677
2018-09;Ochtendspits;Pointe du matin;Morning peak hour;75.22559474979491;3657;2751;14935
2018-09;Avondspits;Pointe du soir;Evening peak hour;83.06049822064057;2810;2334;9436
2018-10;Ochtendspits;Pointe du matin;Morning peak hour;73.13255869101258;4217;3084;18259
2018-10;Weekends;Weekends;Weekends;88.25324180015257;3933;3471;9464
2018-11;Weekends;Weekends;Weekends;83.31402085747392;4315;3595;13690
2018-11;Daluren;Heures creuses;Off-peak hours;87.23367249326029;11499;10031;30805
2019-02;Weekends;Weekends;Weekends;91.2747103;4401;4017;8119
2019-02;Daluren;Heures creuses;Off-peak hours;91.1894273;10669;9729;20243
2019-03;Ochtendspits;Pointe du matin;Morning peak hour;86.48580121703854;3944;3411;10424
2019-03;Daluren;Heures creuses;Off-peak hours;92.94998708788845;11617;10798;18404
2019-04;Weekends;Weekends;Weekends;94.82795931616533;4621;4382;6177
2019-05;Ochtendspits;Pointe du matin;Morning peak hour;85.09316770186336;3703;3151;11715
2019-05;Weekends;Weekends;Weekends;92.87455465966623;5333;4953;8400
2019-06;Ochtendspits;Pointe du matin;Morning peak hour;85.5043798;3539;3026;9770
2019-07;Ochtendspits;Pointe du matin;Morning peak hour;92.79979929999999;3986;3699;6711
2019-07;Weekends;Weekends;Weekends;96.3901506;4183;4032;4384
2019-07;Daluren;Heures creuses;Off-peak hours;92.0657613;12591;11592;24921
2019-08;Weekends;Weekends;Weekends;94.73884864658788;5246;4970;6910
2019-09;Ochtendspits;Pointe du matin;Morning peak hour;85.9434683;3927;3375;11211
2019-09;Avondspits;Pointe du soir;Evening peak hour;91.3613445;2975;2718;5743
2019-10;Avondspits;Pointe du soir;Evening peak hour;86.87712782420304;3231;2807;9445
2019-10;Weekends;Weekends;Weekends;90.01617749017795;4327;3895;9621
2019-11;Daluren;Heures creuses;Off-peak hours;88.75529049634476;10396;9227;23382
2019-12;Avondspits;Pointe du soir;Evening peak hour;88.05918788713008;2906;2559;6919
2019-12;Daluren;Heures creuses;Off-peak hours;90.98471832896283;11059;10062;21035
2020-01;Avondspits;Pointe du soir;Evening peak hour;90.31843036346092;3109;2808;6586
2020-01;Daluren;Heures creuses;Off-peak hours;92.24137931034483;12064;11128;20100
2020-02;Ochtendspits;Pointe du matin;Morning peak hour;84.4155844155844;3696;3120;11684
2020-03;Weekends;Weekends;Weekends;95.39488832604191;4343;4143;5625
2020-04;Ochtendspits;Pointe du matin;Morning peak hour;96.78832116788321;2055;1989;1776
2020-06;Ochtendspits;Pointe du matin;Morning peak hour;94.59724950884086;3054;2889;4123
2020-06;Daluren;Heures creuses;Off-peak hours;93.9724603793193;11547;10851;15889
2020-08;Daluren;Heures creuses;Off-peak hours;92.87404680515382;11409;10596;18316
2020-09;Ochtendspits;Pointe du matin;Morning peak hour;89.49795081967213;3904;3494;8248
2020-10;Ochtendspits;Pointe du matin;Morning peak hour;87.2213582166926;3858;3365;9545
2020-11;Avondspits;Pointe du soir;Evening peak hour;93.95688991531948;2598;2441;4098
2020-12;Ochtendspits;Pointe du matin;Morning peak hour;92.8211213289825;3371;3129;5872
2021-01;Ochtendspits;Pointe du matin;Morning peak hour;88.40250142126209;3518;3110;7997
2021-01;Avondspits;Pointe du soir;Evening peak hour;91.53365718251214;2882;2638;5283
2021-01;Daluren;Heures creuses;Off-peak hours;93.85738449212143;11233;10543;15721
2021-02;Avondspits;Pointe du soir;Evening peak hour;88.16210451475294;2813;2480;6748
2021-03;Weekends;Weekends;Weekends;93.77602961591856;4322;4053;6432
2021-04;Avondspits;Pointe du soir;Evening peak hour;92.41101410342512;2978;2752;5098
2021-05;Ochtendspits;Pointe du matin;Morning peak hour;92.66191325014854;3366;3119;5523
2021-06;Ochtendspits;Pointe du matin;Morning peak hour;91.73106646058733;3882;3561;7185
2021-06;Avondspits;Pointe du soir;Evening peak hour;88.21848205779612;3149;2778;8127
2021-08;Weekends;Weekends;Weekends;96.77677677677677;4995;4834;4416
2021-09;Daluren;Heures creuses;Off-peak hours;91.75484291062999;12286;11273;23366
2021-10;Ochtendspits;Pointe du matin;Morning peak hour;79.47182139940104;3673;2919;12661
2021-10;Avondspits;Pointe du soir;Evening peak hour;87.81208935611038;3044;2673;7658
2021-12;Ochtendspits;Pointe du matin;Morning peak hour;90.20452099031216;3716;3352;7770
2021-12;Weekends;Weekends;Weekends;95.97727272727272;4400;4223;4302
2022-02;Weekends;Weekends;Weekends;93.33812604840642;4173;3895;7078
2022-02;Daluren;Heures creuses;Off-peak hours;92.54759746146873;11030;10208;20094
2022-03;Ochtendspits;Pointe du matin;Morning peak hour;88.25308797580036;3967;3501;9766
2022-03;Avondspits;Pointe du soir;Evening peak hour;87.74774774774775;3330;2922;9543
2022-04;Ochtendspits;Pointe du matin;Morning peak hour;88.2370820668693;3290;2903;7725
2022-06;Daluren;Heures creuses;Off-peak hours;88.45399505414855;11727;10373;29336
2022-07;Avondspits;Pointe du soir;Evening peak hour;87.75017253278122;2898;2543;7553
2022-07;Daluren;Heures creuses;Off-peak hours;90.57572754302188;11099;10053;25354
2022-08;Ochtendspits;Pointe du matin;Morning peak hour;92.51968503937007;3556;3290;6218
2022-08;Avondspits;Pointe du soir;Evening peak hour;89.26751592356688;3140;2803;7296
2022-09;Ochtendspits;Pointe du matin;Morning peak hour;85.13833992094861;3795;3231;11346
2022-10;Avondspits;Pointe du soir;Evening peak hour;80.63858695652173;2944;2374;10715
2022-10;Daluren;Heures creuses;Off-peak hours;86.2566371681416;11300;9747;32233
2022-11;Ochtendspits;Pointe du matin;Morning peak hour;77.86509495743287;3054;2378;11617
2022-11;Weekends;Weekends;Weekends;90.4566022213081;4862;4398;9514
2022-12;Daluren;Heures creuses;Off-peak hours;84.73827328348062;11768;9972;37508
2023-02;Avondspits;Pointe du soir;Evening peak hour;78.69843527738266;2812;2213;10880
2023-02;Daluren;Heures creuses;Off-peak hours;85.50328227571116;10968;9378;31733
2023-03;Weekends;Weekends;Weekends;93.95050412465628;4364;4100;6334
2023-04;Daluren;Heures creuses;Off-peak hours;88.07816235318575;9621;8474;24303
2023-05;Avondspits;Pointe du soir;Evening peak hour;81.90205819730305;2818;2308;9947
2023-06;Ochtendspits;Pointe du matin;Morning peak hour;87.36871199557767;3618;3161;9148
2023-06;Daluren;Heures creuses;Off-peak hours;88.542653008522;11617;10286;27949
2023-07;Avondspits;Pointe du soir;Evening peak hour;88.02065404475043;2905;2557;7288
2023-07;Weekends;Weekends;Weekends;94.5661123003458;6073;5743;8084
2023-08;Ochtendspits;Pointe du matin;Morning peak hour;91.31629568562792;3639;3323;6594
2023-08;Avondspits;Pointe du soir;Evening peak hour;91.5387026010655;3191;2921;6373
2023-08;Weekends;Weekends;Weekends;95.02831969792322;4767;4530;6007
2023-08;Daluren;Heures creuses;Off-peak hours;92.48653940283896;12258;11337;21417
2023-09;Weekends;Weekends;Weekends;92.72253408179631;4988;4625;8771
2023-09;Daluren;Heures creuses;Off-peak hours;88.16343723673126;11870;10465;29275
