Mois;Type de train;Instant;Instant;Instant;Ponctualité;Nombre de trains;Nombre de train avec moins de 6 min. de retard;Minutes de retard
2016-04;P;Avondspits;Pointe du soir;Evening peak hour;86.02592475497946;3163;2721;7797.0
2016-04;P;Daluren;Heures creuses;Off-peak hours;85.68443051201672;957;820;2316.0
2016-04;S;Daluren;Heures creuses;Off-peak hours;93.91988555078684;9786;9191;14265.0
2016-05;IC;Daluren;Heures creuses;Off-peak hours;87.85778985507247;22080;19399;59653.0
2016-05;L;Daluren;Heures creuses;Off-peak hours;90.40180764318694;10179;9202;19091.0
2016-05;P;Ochtendspits;Pointe du matin;Morning peak hour;91.10438729198185;3305;3011;6478.0
2016-05;P;Weekends;Weekends;Weekends;94.44444444444444;18;17;18.0
2016-05;P;Daluren;Heures creuses;Off-peak hours;84.87690504103166;853;724;2315.0
2016-05;S;Ochtendspits;Pointe du matin;Morning peak hour;91.7852785685238;2459;2257;5361.0
2016-05;S;Avondspits;Pointe du soir;Evening peak hour;84.3280708509819;2597;2190;8164.0
2016-05;S;Weekends;Weekends;Weekends;95.16738660907127;3704;3525;4187.0
2016-06;IC;Weekends;Weekends;Weekends;90.4263797569237;10038;9077;19390.0
2016-06;IC;Daluren;Heures creuses;Off-peak hours;84.24633152711309;25283;21300;84069.0
2016-06;L;Ochtendspits;Pointe du matin;Morning peak hour;88.82611424984307;3186;2830;7576.0
2016-06;L;Daluren;Heures creuses;Off-peak hours;88.26298835384489;12107;10686;27545.0
2016-06;P;Daluren;Heures creuses;Off-peak hours;82.13507625272331;918;754;3093.0
2016-07;IC;Ochtendspits;Pointe du matin;Morning peak hour;92.61228230980751;5455;5052;9082.0
2016-07;IC;Avondspits;Pointe du soir;Evening peak hour;87.3959000640615;6244;5457;16475.0
2016-07;L;Daluren;Heures creuses;Off-peak hours;93.73104974186676;12203;11438;16812.0
2016-07;P;Weekends;Weekends;Weekends;85.71428571428571;14;12;52.0
2016-07;S;Weekends;Weekends;Weekends;98.18849449204407;4085;4011;2858.0
2016-08;IC;Ochtendspits;Pointe du matin;Morning peak hour;91.69861643607268;5999;5501;11748.0
2016-08;P;Ochtendspits;Pointe du matin;Morning peak hour;92.96636085626912;2289;2128;4072.0
2016-08;S;Weekends;Weekends;Weekends;94.18951132300357;3356;3161;3933.0
