Mois;Type de train;Instant;Instant;Instant;Ponctualité;Nombre de trains;Nombre de train avec moins de 6 min. de retard;Minutes de retard
2019-04;L;Weekends;Weekends;Weekends;95.2837351;10538;10041;11848.0
2019-04;P;Weekends;Weekends;Weekends;82.5;40;33;149.0
2019-05;ICT;Avondspits;Pointe du soir;Evening peak hour;93.75;16;15;26.0
2019-05;L;Ochtendspits;Pointe du matin;Morning peak hour;89.7588611;6884;6179;15123.0
2019-05;L;Avondspits;Pointe du soir;Evening peak hour;85.5617828;7494;6412;20337.0
2019-06;IC;Ochtendspits;Pointe du matin;Morning peak hour;88.9327283;5069;4508;11314.0
2019-06;IC;Daluren;Heures creuses;Off-peak hours;86.8039267;23022;19984;57513.0
2019-06;L;Avondspits;Pointe du soir;Evening peak hour;85.6828517;6817;5841;18078.0
2019-06;L;Weekends;Weekends;Weekends;93.8345392;12716;11932;18180.0
2019-06;L;Daluren;Heures creuses;Off-peak hours;89.8478374;25039;22497;50094.0
2019-06;P;Ochtendspits;Pointe du matin;Morning peak hour;91.7860554;4188;3844;7428.0
2019-06;P;Weekends;Weekends;Weekends;88.23529409999999;51;45;141.0
2019-06;P;Daluren;Heures creuses;Off-peak hours;89.234104;1384;1235;2888.0
2019-07;IC;Ochtendspits;Pointe du matin;Morning peak hour;93.1877023;6180;5759;9428.0
2019-07;IC;Weekends;Weekends;Weekends;95.95124969999999;9682;9290;9497.0
2019-07;L;Ochtendspits;Pointe du matin;Morning peak hour;95.8019802;7575;7257;8887.0
2019-07;L;Avondspits;Pointe du soir;Evening peak hour;89.202167;8122;7245;18929.0
2019-07;L;Daluren;Heures creuses;Off-peak hours;93.4495333;29891;27933;45872.0
2019-08;ICT;Weekends;Weekends;Weekends;90.87837837837837;592;538;1031.0
2019-09;IC;Ochtendspits;Pointe du matin;Morning peak hour;87.98290902617055;5617;4942;13693.0
2019-09;ICT;Avondspits;Pointe du soir;Evening peak hour;100.0;4;4;8.0
2019-09;ICT;Weekends;Weekends;Weekends;95.42857142857143;175;167;160.0
2019-09;P;Avondspits;Pointe du soir;Evening peak hour;88.53143418467585;4072;3605;8731.0
2019-09;P;Daluren;Heures creuses;Off-peak hours;91.92660550458716;1635;1503;2735.0
2019-10;IC;Avondspits;Pointe du soir;Evening peak hour;83.80261248185776;6890;5774;24740.0
2019-10;IC;Weekends;Weekends;Weekends;90.38973852984707;10135;9161;21122.0
2019-10;IC;Daluren;Heures creuses;Off-peak hours;88.59210194751431;27779;24610;64183.0
2019-10;L;Daluren;Heures creuses;Off-peak hours;90.09165872729065;30439;27423;58980.0
2019-10;P;Ochtendspits;Pointe du matin;Morning peak hour;87.64883955600403;4955;4343;12267.0
2019-10;P;Avondspits;Pointe du soir;Evening peak hour;85.97130494192666;4391;3775;13645.0
2019-10;P;Weekends;Weekends;Weekends;77.77777777777779;63;49;455.0
2019-10;P;Daluren;Heures creuses;Off-peak hours;90.80021774632553;1837;1668;3431.0
2019-11;L;Weekends;Weekends;Weekends;92.27155273666902;12771;11784;20810.0
2019-11;L;Daluren;Heures creuses;Off-peak hours;87.72362248548939;25154;22066;57342.0
2019-12;IC;Daluren;Heures creuses;Off-peak hours;89.99835499259746;24316;21884;48870.0
2019-12;L;Daluren;Heures creuses;Off-peak hours;91.38880506940254;26512;24229;45550.0
2020-01;IC;Avondspits;Pointe du soir;Evening peak hour;87.05057891529555;6564;5714;16231.0
2020-01;IC;Daluren;Heures creuses;Off-peak hours;91.56980024827898;26583;24342;46665.0
2020-01;L;Weekends;Weekends;Weekends;97.54830477579293;10972;10703;7865.0
2020-01;L;Daluren;Heures creuses;Off-peak hours;93.41627253410103;29178;27257;41192.0
2020-02;P;Weekends;Weekends;Weekends;54.90196078431373;51;28;618.0
2020-03;IC;Weekends;Weekends;Weekends;95.0;10320;9804;12263.0
2020-03;IC;Daluren;Heures creuses;Off-peak hours;91.816098152892;22251;20430;37972.0
2020-03;P;Weekends;Weekends;Weekends;78.26086956521739;46;36;160.0
2020-03;P;Daluren;Heures creuses;Off-peak hours;92.6673751328374;941;872;1558.0
2020-05;IC;Avondspits;Pointe du soir;Evening peak hour;92.08348326736237;5558;5118;9977.0
2020-05;IC;Daluren;Heures creuses;Off-peak hours;93.7884137570289;22941;21516;32003.0
2020-05;L;Daluren;Heures creuses;Off-peak hours;95.42623746360401;24728;23597;28274.0
2020-06;IC;Ochtendspits;Pointe du matin;Morning peak hour;94.35613502411145;5599;5283;7451.0
2020-06;IC;Avondspits;Pointe du soir;Evening peak hour;91.22863592389552;6202;5658;11920.0
2020-06;IC;Weekends;Weekends;Weekends;96.3543073183905;11109;10704;9760.0
2020-06;ICT;Avondspits;Pointe du soir;Evening peak hour;93.75;16;15;14.0
2020-06;ICT;Daluren;Heures creuses;Off-peak hours;96.42857142857143;56;54;43.0
2020-06;L;Avondspits;Pointe du soir;Evening peak hour;93.51174934725849;7660;7163;11089.0
2020-06;L;Weekends;Weekends;Weekends;97.59093505998857;10502;10249;7725.0
2020-07;ICT;Daluren;Heures creuses;Off-peak hours;90.0593471810089;674;607;1283.0
2020-07;L;Daluren;Heures creuses;Off-peak hours;96.28679864601497;29247;28161;28931.0
2020-07;P;Avondspits;Pointe du soir;Evening peak hour;94.24460431654677;1668;1572;2082.0
2020-07;P;Daluren;Heures creuses;Off-peak hours;95.26542324246772;697;664;842.0
2020-08;IC;Ochtendspits;Pointe du matin;Morning peak hour;95.05368773103326;5681;5400;6569.0
2020-08;IC;Weekends;Weekends;Weekends;95.37943205519012;12466;11890;14783.0
2020-08;P;Avondspits;Pointe du soir;Evening peak hour;92.72836538461539;1664;1543;2695.0
2020-08;P;Daluren;Heures creuses;Off-peak hours;94.89795918367348;686;651;825.0
2020-09;IC;Avondspits;Pointe du soir;Evening peak hour;88.08569667077681;6488;5715;16006.0
2020-09;IC;Weekends;Weekends;Weekends;92.91468704813055;9682;8996;14033.0
2020-09;ICT;Weekends;Weekends;Weekends;87.96296296296296;108;95;281.0
2020-09;P;Avondspits;Pointe du soir;Evening peak hour;90.894901144641;3844;3494;7206.0
2020-10;IC;Avondspits;Pointe du soir;Evening peak hour;89.94829683698296;6576;5915;13383.0
2020-10;P;Ochtendspits;Pointe du matin;Morning peak hour;90.18105849582173;4308;3885;8916.0
2020-10;P;Avondspits;Pointe du soir;Evening peak hour;90.54933611038793;3841;3478;7441.0
2020-11;IC;Avondspits;Pointe du soir;Evening peak hour;90.94196659204408;5807;5281;11543.0
2020-11;L;Ochtendspits;Pointe du matin;Morning peak hour;90.53398058252428;6180;5595;12391.0
2020-11;L;Weekends;Weekends;Weekends;95.66655359565807;11792;11281;13676.0
2020-11;P;Ochtendspits;Pointe du matin;Morning peak hour;92.17462932454696;3642;3357;6702.0
2020-11;P;Weekends;Weekends;Weekends;78.2051282051282;78;61;361.0
2020-11;P;Daluren;Heures creuses;Off-peak hours;91.74573055028463;1054;967;1914.0
2020-12;IC;Ochtendspits;Pointe du matin;Morning peak hour;93.42867487328023;5524;5161;8551.0
2020-12;IC;Avondspits;Pointe du soir;Evening peak hour;92.15149073327962;6205;5718;10469.0
2020-12;L;Weekends;Weekends;Weekends;97.79312415553221;13322;13028;9585.0
2020-12;P;Avondspits;Pointe du soir;Evening peak hour;91.15397406052544;3007;2741;5830.0
2020-12;P;Weekends;Weekends;Weekends;94.79166666666666;192;182;239.0
2020-12;P;Daluren;Heures creuses;Off-peak hours;94.11206077872745;1053;991;1350.0
2021-01;IC;Daluren;Heures creuses;Off-peak hours;92.56660854049231;24659;22826;39378.0
2021-01;P;Weekends;Weekends;Weekends;87.03703703703704;54;47;116.0
2021-02;L;Ochtendspits;Pointe du matin;Morning peak hour;90.99923722349351;6555;5965;12982.0
2021-02;P;Ochtendspits;Pointe du matin;Morning peak hour;89.98923573735199;3716;3344;8361.0
2021-03;IC;Avondspits;Pointe du soir;Evening peak hour;87.32435173113139;6903;6028;17278.0
2021-03;IC;Daluren;Heures creuses;Off-peak hours;91.5884137532505;27688;25359;48724.0
2021-03;L;Ochtendspits;Pointe du matin;Morning peak hour;94.59128065395095;7340;6943;9692.0
2021-03;L;Avondspits;Pointe du soir;Evening peak hour;92.29047500621735;8042;7422;12455.0
2021-03;L;Daluren;Heures creuses;Off-peak hours;94.45157802257215;29594;27952;39193.0
2021-03;P;Ochtendspits;Pointe du matin;Morning peak hour;93.97645972767135;4333;4072;6350.0
2021-03;P;Avondspits;Pointe du soir;Evening peak hour;90.50531914893617;3760;3403;7444.0
2021-04;P;Ochtendspits;Pointe du matin;Morning peak hour;93.40452261306532;3184;2974;5132.0
2021-05;IC;Weekends;Weekends;Weekends;95.22604473018261;14621;13923;15894.0
2021-05;L;Ochtendspits;Pointe du matin;Morning peak hour;95.77639751552796;6440;6168;7409.0
2021-05;L;Daluren;Heures creuses;Off-peak hours;95.08259700345755;26030;24750;31274.0
2021-05;P;Ochtendspits;Pointe du matin;Morning peak hour;95.15561569688768;3695;3516;4629.0
2021-05;P;Avondspits;Pointe du soir;Evening peak hour;90.96958174904944;3156;2871;5862.0
2021-06;IC;Ochtendspits;Pointe du matin;Morning peak hour;92.84996651038178;5972;5545;9154.0
2021-06;IC;Avondspits;Pointe du soir;Evening peak hour;85.9304084720121;6610;5680;18244.0
2021-06;L;Daluren;Heures creuses;Off-peak hours;93.1431978535228;30189;28119;46151.0
2021-06;P;Ochtendspits;Pointe du matin;Morning peak hour;93.23220536756126;4285;3995;6617.0
2021-06;P;Avondspits;Pointe du soir;Evening peak hour;89.04930536638518;3671;3269;8203.0
2021-06;P;Daluren;Heures creuses;Off-peak hours;90.5320813771518;1278;1157;2172.0
2021-07;IC;Ochtendspits;Pointe du matin;Morning peak hour;95.37747635195431;5603;5344;6256.0
2021-07;ICT;Weekends;Weekends;Weekends;91.71374764595103;531;487;922.0
2021-07;ICT;Daluren;Heures creuses;Off-peak hours;88.39506172839506;405;358;936.0
2021-07;L;Weekends;Weekends;Weekends;97.0396684428656;11823;11473;9770.0
2021-07;P;Avondspits;Pointe du soir;Evening peak hour;91.67950693374422;1947;1785;3519.0
2021-08;IC;Weekends;Weekends;Weekends;95.58387153080817;11458;10952;11925.0
2021-08;ICT;Avondspits;Pointe du soir;Evening peak hour;96.22641509433963;159;153;112.0
2021-08;ICT;Weekends;Weekends;Weekends;93.18181818181817;440;410;694.0
2021-08;L;Ochtendspits;Pointe du matin;Morning peak hour;95.58517284464806;7203;6885;8166.0
2021-08;L;Weekends;Weekends;Weekends;97.15398164457217;10787;10480;8667.0
2021-08;L;Daluren;Heures creuses;Off-peak hours;94.74939509160042;28930;27411;33965.0
2021-08;P;Ochtendspits;Pointe du matin;Morning peak hour;94.97674418604652;2150;2042;2747.0
2021-08;P;Daluren;Heures creuses;Off-peak hours;94.24083769633508;764;720;1133.0
2021-09;IC;Daluren;Heures creuses;Off-peak hours;90.22001261455127;26953;24317;55193.0
2021-09;L;Avondspits;Pointe du soir;Evening peak hour;88.19913952059004;8135;7175;18656.0
2021-09;L;Weekends;Weekends;Weekends;95.65307389774374;9662;9242;12279.0
2021-09;P;Avondspits;Pointe du soir;Evening peak hour;88.50184083828944;3531;3125;8079.0
2021-10;L;Avondspits;Pointe du soir;Evening peak hour;88.14213982232523;7767;6846;18239.0
2021-10;L;Daluren;Heures creuses;Off-peak hours;91.2779117307894;28617;26121;53198.0
2021-10;P;Weekends;Weekends;Weekends;70.96774193548387;62;44;358.0
2021-11;IC;Avondspits;Pointe du soir;Evening peak hour;85.84714237402773;5914;5077;15679.0
2021-11;ICT;Weekends;Weekends;Weekends;82.6923076923077;52;43;155.0
2021-11;L;Avondspits;Pointe du soir;Evening peak hour;89.12896691424713;7405;6600;16338.0
2021-11;P;Avondspits;Pointe du soir;Evening peak hour;88.23895457373989;3214;2836;7389.0
2021-11;P;Weekends;Weekends;Weekends;64.44444444444444;90;58;559.0
2021-12;IC;Ochtendspits;Pointe du matin;Morning peak hour;90.48550016291952;6138;5554;12093.0
2021-12;IC;Avondspits;Pointe du soir;Evening peak hour;86.66763805915781;6863;5948;17815.0
2021-12;IC;Weekends;Weekends;Weekends;95.666633074675;9923;9493;10352.0
2021-12;L;Avondspits;Pointe du soir;Evening peak hour;90.97558098383863;8477;7712;15979.0
2021-12;P;Avondspits;Pointe du soir;Evening peak hour;90.1899719713485;3211;2896;6519.0
2022-01;IC;Ochtendspits;Pointe du matin;Morning peak hour;90.494025325486;5607;5074;11199.0
2022-01;IC;Weekends;Weekends;Weekends;95.76271186440678;12154;11639;12135.0
2022-01;P;Avondspits;Pointe du soir;Evening peak hour;91.25792459125792;2997;2735;5559.0
2022-02;IC;Avondspits;Pointe du soir;Evening peak hour;84.38212094653812;5705;4814;19114.0
2022-02;IC;Weekends;Weekends;Weekends;91.07312440645774;9477;8631;19456.0
2022-02;INT;Daluren;Heures creuses;Off-peak hours;60.0;20;12;341.0
2022-02;L;Avondspits;Pointe du soir;Evening peak hour;88.63237872589129;6844;6066;16738.0
2022-03;IC;Ochtendspits;Pointe du matin;Morning peak hour;89.35305591677503;6152;5497;13555.0
2022-03;IC;Avondspits;Pointe du soir;Evening peak hour;82.49523530274153;6821;5627;22304.0
2022-03;IC;Weekends;Weekends;Weekends;93.40682414698162;9525;8897;13853.0
2022-03;INT;Daluren;Heures creuses;Off-peak hours;54.166666666666664;24;13;740.0
2022-03;L;Ochtendspits;Pointe du matin;Morning peak hour;91.73522338944437;7901;7248;14536.0
2022-03;L;Weekends;Weekends;Weekends;95.77870480731029;10068;9643;11008.0
2022-03;P;Ochtendspits;Pointe du matin;Morning peak hour;91.49845642365234;4211;3853;8214.0
2022-04;IC;Avondspits;Pointe du soir;Evening peak hour;82.6146710187253;5821;4809;19419.0
2022-04;IC;Weekends;Weekends;Weekends;92.77871621621621;11840;10985;18356.0
2022-04;IC;Daluren;Heures creuses;Off-peak hours;87.82189521755677;23649;20769;58293.0
2022-04;ICT;Weekends;Weekends;Weekends;85.88957055214725;163;140;411.0
2022-04;INT;Daluren;Heures creuses;Off-peak hours;62.5;24;15;1073.0
2022-04;P;Ochtendspits;Pointe du matin;Morning peak hour;91.56934306569343;2740;2509;5005.0
2022-04;P;Daluren;Heures creuses;Off-peak hours;90.81632653061224;882;801;1694.0
2022-05;IC;Ochtendspits;Pointe du matin;Morning peak hour;90.79428989751098;5464;4961;10491.0
2022-05;IC;Weekends;Weekends;Weekends;92.89940828402366;12337;11461;18881.0
2022-05;ICT;Avondspits;Pointe du soir;Evening peak hour;100.0;13;13;13.0
2022-05;INT;Daluren;Heures creuses;Off-peak hours;50.0;26;13;993.0
2022-05;L;Weekends;Weekends;Weekends;95.08746705008387;12519;11904;14712.0
2022-05;P;Avondspits;Pointe du soir;Evening peak hour;86.13256113256114;3108;2677;8521.0
2022-06;ICT;Avondspits;Pointe du soir;Evening peak hour;77.77777777777779;18;14;36.0
2022-06;INT;Weekends;Weekends;Weekends;50.0;2;1;81.0
2022-06;L;Weekends;Weekends;Weekends;93.8160433703942;10883;10210;15353.0
2022-06;L;Daluren;Heures creuses;Off-peak hours;89.43214432144322;29268;26175;61553.0
2022-06;P;Daluren;Heures creuses;Off-peak hours;88.92733564013841;1156;1028;2446.0
2022-07;ICT;Avondspits;Pointe du soir;Evening peak hour;98.71794871794873;78;77;74.0
2022-07;ICT;Weekends;Weekends;Weekends;93.15476190476191;336;313;477.0
2022-07;L;Avondspits;Pointe du soir;Evening peak hour;90.146525070574;7439;6706;15165.0
2022-07;L;Weekends;Weekends;Weekends;95.71624647836452;13843;13250;15446.0
2022-07;P;Ochtendspits;Pointe du matin;Morning peak hour;93.95491803278688;1952;1834;3047.0
2022-07;P;Avondspits;Pointe du soir;Evening peak hour;87.66197183098592;1775;1556;4320.0
2022-07;P;Daluren;Heures creuses;Off-peak hours;91.92751235584844;607;558;931.0
2022-08;IC;Ochtendspits;Pointe du matin;Morning peak hour;92.84624512629259;5899;5477;9171.0
2022-08;IC;Avondspits;Pointe du soir;Evening peak hour;86.49567367119901;6472;5598;17249.0
2022-08;IC;Daluren;Heures creuses;Off-peak hours;89.29844520288206;26370;23548;58353.0
2022-08;ICT;Weekends;Weekends;Weekends;96.65551839464884;299;289;312.0
2022-08;L;Weekends;Weekends;Weekends;94.5234189903408;10974;10373;14358.0
2022-08;P;Daluren;Heures creuses;Off-peak hours;91.92364170337738;681;626;1176.0
2022-09;ICT;Daluren;Heures creuses;Off-peak hours;100.0;3;3;2.0
2022-09;L;Ochtendspits;Pointe du matin;Morning peak hour;88.66237011705906;7603;6741;18143.0
2022-09;L;Avondspits;Pointe du soir;Evening peak hour;85.05111244738424;8315;7072;22941.0
2022-09;P;Avondspits;Pointe du soir;Evening peak hour;84.68547912992358;3402;2881;9533.0
2022-09;P;Weekends;Weekends;Weekends;74.07407407407408;27;20;144.0
2022-10;IC;Ochtendspits;Pointe du matin;Morning peak hour;83.0001833852925;5453;4526;16869.0
2022-10;INT;Daluren;Heures creuses;Off-peak hours;45.83333333333333;24;11;629.0
2022-11;ICT;Avondspits;Pointe du soir;Evening peak hour;83.33333333333334;6;5;23.0
2022-11;ICT;Weekends;Weekends;Weekends;82.14285714285714;56;46;156.0
2022-11;ICT;Daluren;Heures creuses;Off-peak hours;80.0;10;8;16.0
2022-11;L;Ochtendspits;Pointe du matin;Morning peak hour;82.96333669693911;5946;4933;17895.0
2022-11;L;Avondspits;Pointe du soir;Evening peak hour;79.65620328849027;6690;5329;23584.0
2022-11;P;Avondspits;Pointe du soir;Evening peak hour;78.88805409466566;2662;2100;9139.0
2022-12;IC;Ochtendspits;Pointe du matin;Morning peak hour;81.85526782547002;5638;4615;18732.0
2022-12;IC;Daluren;Heures creuses;Off-peak hours;81.88898553016526;25294;20713;87405.0
2022-12;L;Daluren;Heures creuses;Off-peak hours;85.81643580089123;28949;24843;78472.0
2022-12;P;Weekends;Weekends;Weekends;72.72727272727273;44;32;186.0
2023-01;IC;Avondspits;Pointe du soir;Evening peak hour;82.05523838913747;6481;5318;20760.0
2023-01;L;Ochtendspits;Pointe du matin;Morning peak hour;88.07170159483326;7587;6682;17463.0
2023-01;L;Daluren;Heures creuses;Off-peak hours;90.28278984318614;30482;27520;58859.0
2023-01;P;Weekends;Weekends;Weekends;79.41176470588235;68;54;248.0
2023-01;P;Daluren;Heures creuses;Off-peak hours;87.7840909090909;1056;927;2548.0
2023-02;IC;Ochtendspits;Pointe du matin;Morning peak hour;83.66526235158943;5222;4369;16558.0
2023-02;INT;Daluren;Heures creuses;Off-peak hours;50.0;22;11;548.0
2023-02;L;Weekends;Weekends;Weekends;95.63901930099114;9585;9167;11806.0
2023-02;P;Weekends;Weekends;Weekends;68.42105263157895;57;39;325.0
2023-03;IC;Ochtendspits;Pointe du matin;Morning peak hour;87.5188726723704;5961;5217;14370.0
2023-03;P;Ochtendspits;Pointe du matin;Morning peak hour;89.57508577461071;3789;3394;8138.0
2023-03;P;Avondspits;Pointe du soir;Evening peak hour;84.60351743289108;3241;2742;8972.0
2023-03;P;Weekends;Weekends;Weekends;61.29032258064516;62;38;385.0
2023-03;P;Daluren;Heures creuses;Off-peak hours;85.58333333333333;1200;1027;3394.0
2023-04;IC;Weekends;Weekends;Weekends;91.99838078531913;14822;13636;25387.0
2023-04;IC;Daluren;Heures creuses;Off-peak hours;84.41833590138675;20768;17532;63497.0
2023-04;L;Ochtendspits;Pointe du matin;Morning peak hour;90.13891270794032;5831;5256;12006.0
2023-04;L;Weekends;Weekends;Weekends;93.93036801694467;15108;14191;20946.0
2023-04;L;Daluren;Heures creuses;Off-peak hours;89.43367216195439;23414;20940;49285.0
2023-04;P;Ochtendspits;Pointe du matin;Morning peak hour;89.14405010438414;2395;2135;5477.0
2023-04;P;Weekends;Weekends;Weekends;87.06467661691542;402;350;985.0
2023-04;P;Daluren;Heures creuses;Off-peak hours;87.40053050397879;754;659;2011.0
2023-05;IC;Daluren;Heures creuses;Off-peak hours;83.64693665628245;24075;20138;75614.0
2023-05;INT;Daluren;Heures creuses;Off-peak hours;50.0;30;15;854.0
2023-05;L;Daluren;Heures creuses;Off-peak hours;89.11767961917414;27099;24150;57201.0
2023-05;P;Ochtendspits;Pointe du matin;Morning peak hour;90.42207792207793;3080;2785;6691.0
2023-05;P;Avondspits;Pointe du soir;Evening peak hour;81.81818181818183;2728;2232;8662.0
2023-05;P;Weekends;Weekends;Weekends;84.34579439252336;428;361;1137.0
2023-05;P;Daluren;Heures creuses;Off-peak hours;88.85480572597137;978;869;2465.0
2023-06;IC;Daluren;Heures creuses;Off-peak hours;83.95012228860111;24941;20938;75062.0
2023-06;INT;Weekends;Weekends;Weekends;50.0;2;1;6.0
2023-06;L;Weekends;Weekends;Weekends;92.6350818810754;11419;10578;19028.0
2023-07;L;Weekends;Weekends;Weekends;95.2042758822668;13658;13003;16817.0
2023-07;P;Ochtendspits;Pointe du matin;Morning peak hour;95.34198113207547;1696;1617;2193.0
2023-07;P;Daluren;Heures creuses;Off-peak hours;93.14814814814815;540;503;845.0
2023-08;L;Avondspits;Pointe du soir;Evening peak hour;90.56099732858415;7861;7119;15604.0
2023-08;P;Avondspits;Pointe du soir;Evening peak hour;88.15455007625826;1967;1734;4606.0
2023-08;P;Weekends;Weekends;Weekends;100.0;3;3;1.0
2023-08;P;Daluren;Heures creuses;Off-peak hours;90.0;630;567;1321.0
2023-09;IC;Ochtendspits;Pointe du matin;Morning peak hour;87.12241653418124;5661;4932;13873.0
2023-09;IC;Weekends;Weekends;Weekends;89.70574584609672;10773;9664;23605.0
2023-09;IC;Daluren;Heures creuses;Off-peak hours;83.83538064314216;25562;21430;76766.0
2023-09;INT;Daluren;Heures creuses;Off-peak hours;61.53846153846154;52;32;887.0
2023-09;L;Ochtendspits;Pointe du matin;Morning peak hour;89.14783097009686;7123;6350;15289.0
2023-09;L;Weekends;Weekends;Weekends;93.77623653951451;10958;10276;16712.0
2023-09;P;Ochtendspits;Pointe du matin;Morning peak hour;90.2645214071448;3667;3310;7944.0
2023-09;P;Daluren;Heures creuses;Off-peak hours;83.95303326810176;1022;858;3198.0
2023-10;IC;Ochtendspits;Pointe du matin;Morning peak hour;83.00273597811217;5848;4854;17538.0
2023-10;IC;Daluren;Heures creuses;Off-peak hours;82.16208077690368;26567;21828;85962.0
2023-10;L;Ochtendspits;Pointe du matin;Morning peak hour;85.9860664523044;7464;6418;19419.0
2023-10;L;Daluren;Heures creuses;Off-peak hours;87.65293255631667;29343;25720;69591.0
2023-10;P;Weekends;Weekends;Weekends;54.166666666666664;72;39;585.0
2023-11;IC;Ochtendspits;Pointe du matin;Morning peak hour;76.93978282329714;5065;3897;18974.0
2023-11;IC;Weekends;Weekends;Weekends;91.19113573407202;10830;9876;19825.0
2023-11;INT;Daluren;Heures creuses;Off-peak hours;50.0;36;18;1333.0
2023-11;P;Ochtendspits;Pointe du matin;Morning peak hour;82.58785942492013;3130;2585;9824.0
2023-11;P;Weekends;Weekends;Weekends;67.85714285714286;56;38;245.0
2023-12;L;Weekends;Weekends;Weekends;94.35690983549664;14407;13594;19790.0
2024-01;IC;Ochtendspits;Pointe du matin;Morning peak hour;82.6311263972485;5815;4805;18773.0
2024-01;IC;Weekends;Weekends;Weekends;93.91040382669487;10871;10209;15661.0
2024-01;L;Avondspits;Pointe du soir;Evening peak hour;83.71516296646197;8468;7089;27063.0
2024-01;L;Weekends;Weekends;Weekends;95.16369047619048;12096;11511;14775.0
2024-01;L;Daluren;Heures creuses;Off-peak hours;88.59761629180092;31967;28322;72927.0
2024-01;P;Ochtendspits;Pointe du matin;Morning peak hour;83.76068376068376;3042;2548;9995.0
2024-02;IC;Daluren;Heures creuses;Off-peak hours;84.70046445721484;25406;21519;72036.0
2024-02;L;Ochtendspits;Pointe du matin;Morning peak hour;89.95127090741472;7593;6830;15655.0
2024-02;L;Daluren;Heures creuses;Off-peak hours;90.93718811371173;31061;28246;57713.0
2024-02;P;Weekends;Weekends;Weekends;65.45454545454545;55;36;343.0
2024-03;IC;Daluren;Heures creuses;Off-peak hours;86.55973017491569;25498;22071;66390.0
2024-03;L;Weekends;Weekends;Weekends;95.55607622617931;12804;12235;14218.0
2024-03;P;Daluren;Heures creuses;Off-peak hours;87.91574279379158;902;793;2362.0
2024-04;IC;Weekends;Weekends;Weekends;91.88403077500469;10658;9793;17690.0
2024-04;IC;Daluren;Heures creuses;Off-peak hours;86.62609113478017;24974;21634;63034.0
2024-04;L;Ochtendspits;Pointe du matin;Morning peak hour;91.92862045298558;7285;6697;12565.0
2024-04;L;Weekends;Weekends;Weekends;95.7223496207444;11338;10853;12310.0
2024-04;P;Ochtendspits;Pointe du matin;Morning peak hour;91.69701383831027;2746;2518;4976.0
2024-05;P;Ochtendspits;Pointe du matin;Morning peak hour;91.8004783054322;2927;2687;5473.0
2024-05;P;Avondspits;Pointe du soir;Evening peak hour;84.5223700120919;2481;2097;7126.0
2016-01;IC;Daluren;Heures creuses;Off-peak hours;88.72514130207243;23885;21192;58004.0
2016-01;L;Ochtendspits;Pointe du matin;Morning peak hour;88.80952380952381;2940;2611;6952.0
2016-01;L;Weekends;Weekends;Weekends;96.2340089118873;6957;6695;6505.0
2016-01;P;Weekends;Weekends;Weekends;77.77777777777779;9;7;29.0
2016-01;P;Daluren;Heures creuses;Off-peak hours;85.62300319488818;939;804;2312.0
2016-02;IC;Avondspits;Pointe du soir;Evening peak hour;86.69070151719994;6657;5771;18033.0
2016-02;L;Ochtendspits;Pointe du matin;Morning peak hour;91.83856502242152;3345;3072;6385.0
2016-02;L;Avondspits;Pointe du soir;Evening peak hour;91.93224231983922;3483;3202;6163.0
2016-02;L;Daluren;Heures creuses;Off-peak hours;93.609346820356;12753;11938;18332.0
2016-02;S;Daluren;Heures creuses;Off-peak hours;94.68774548311076;10184;9643;14043.0
2016-03;L;Daluren;Heures creuses;Off-peak hours;91.798494854861;13022;11954;21478.0
2016-03;S;Daluren;Heures creuses;Off-peak hours;93.85820678982493;10339;9704;15952.0
2016-04;IC;Ochtendspits;Pointe du matin;Morning peak hour;87.23944172557549;5517;4813;14588.0
2016-04;IC;Avondspits;Pointe du soir;Evening peak hour;87.43869640879608;6321;5527;16053.0
2016-04;L;Daluren;Heures creuses;Off-peak hours;91.53163423174009;12281;11241;21129.0
2016-04;P;Weekends;Weekends;Weekends;100.0;13;13;9.0
2016-04;S;Ochtendspits;Pointe du matin;Morning peak hour;89.75778546712803;2890;2594;6383.0
2016-05;IC;Avondspits;Pointe du soir;Evening peak hour;80.66185986319098;5409;4363;21086.0
2016-05;IC;Weekends;Weekends;Weekends;89.53176488619818;13049;11683;27790.0
2016-05;L;Ochtendspits;Pointe du matin;Morning peak hour;93.37239106554375;2731;2550;4330.0
2016-05;L;Avondspits;Pointe du soir;Evening peak hour;84.95412844036697;2725;2315;7796.0
2016-05;L;Weekends;Weekends;Weekends;95.3127499600064;6251;5958;7398.0
2016-05;S;Daluren;Heures creuses;Off-peak hours;92.10820201017495;8059;7423;15248.0
2016-06;IC;Ochtendspits;Pointe du matin;Morning peak hour;84.15436599679886;5623;4732;17915.0
2016-06;IC;Avondspits;Pointe du soir;Evening peak hour;79.98413957176844;6305;5043;25424.0
2016-06;P;Ochtendspits;Pointe du matin;Morning peak hour;87.29058347775852;3462;3022;9588.0
2016-06;S;Ochtendspits;Pointe du matin;Morning peak hour;89.47368421052632;2793;2499;7310.0
2016-06;S;Avondspits;Pointe du soir;Evening peak hour;83.51791530944625;3070;2564;9654.0
2016-07;IC;Weekends;Weekends;Weekends;94.66791393826006;13897;13156;17714.0
2016-07;L;Ochtendspits;Pointe du matin;Morning peak hour;94.5669046879851;3221;3046;4249.0
2016-07;L;Avondspits;Pointe du soir;Evening peak hour;91.46933819064967;3294;3013;6256.0
