Mois;Ligne;Instant;Instant;Instant;Ponctualité;Nombre de trains comptabilisés;Nombre de trains arrivés à Bruxelles avec moins de 6 min. de retard;Minutes de retard
2019-02;50A;Avondspits;Pointe du soir;Evening peak hour;94.58689460000001;351;332;515
2019-02;50A;Weekends;Weekends;Weekends;83.9285714;672;564;1859
2019-02;50;Ochtendspits;Pointe du matin;Morning peak hour;85.7142857;98;84;293
2019-02;60;Weekends;Weekends;Weekends;98.7012987;231;228;239
2019-02;89;Ochtendspits;Pointe du matin;Morning peak hour;88.8888889;252;224;692
2019-02;94;Weekends;Weekends;Weekends;98.06949809999999;259;254;155
2019-02;96;Daluren;Heures creuses;Off-peak hours;94.8717949;1053;999;1528
2021-10;25-27;Avondspits;Pointe du soir;Evening peak hour;83.40807174887892;446;372;1346
2019-02;124;Ochtendspits;Pointe du matin;Morning peak hour;75.432526;289;218;1195
2021-10;25-27;Weekends;Weekends;Weekends;87.1951219512195;492;429;1133
2019-02;124;Avondspits;Pointe du soir;Evening peak hour;90.6382979;235;213;483
2021-10;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;88.50828729281768;905;801;2213
2019-02;161;Avondspits;Pointe du soir;Evening peak hour;66.4739884;173;115;918
2021-10;36-36C;Avondspits;Pointe du soir;Evening peak hour;93.85964912280701;798;749;1083
2019-02;161;Weekends;Weekends;Weekends;84.8039216;204;173;511
2021-10;36-36C;Weekends;Weekends;Weekends;92.16321243523316;1544;1423;2278
2019-02;161;Daluren;Heures creuses;Off-peak hours;79.2944785;652;517;2370
2021-10;50A;Avondspits;Pointe du soir;Evening peak hour;90.0804289544236;373;336;844
2019-03;25-27;Ochtendspits;Pointe du matin;Morning peak hour;81.76100628930818;477;390;1517
2021-10;50;Ochtendspits;Pointe du matin;Morning peak hour;72.38095238095238;105;76;411
2019-03;25-27;Daluren;Heures creuses;Off-peak hours;89.16105327617882;1633;1456;3563
2021-10;89;Ochtendspits;Pointe du matin;Morning peak hour;84.61538461538461;247;209;857
2019-03;36-36C;Avondspits;Pointe du soir;Evening peak hour;91.71817058096416;809;742;1379
2021-10;89;Weekends;Weekends;Weekends;94.56869009584665;313;296;405
2019-03;36-36C;Weekends;Weekends;Weekends;93.25426241660489;1349;1258;2481
2021-10;89;Daluren;Heures creuses;Off-peak hours;95.79710144927536;690;661;916
2019-03;50;Avondspits;Pointe du soir;Evening peak hour;100.0;63;63;115
2021-10;96;Weekends;Weekends;Weekends;94.78079331941545;479;454;654
2019-03;50;Weekends;Weekends;Weekends;98.82352941176471;170;168;159
2021-10;124;Daluren;Heures creuses;Off-peak hours;88.69374313940725;911;808;2172
2019-03;60;Daluren;Heures creuses;Off-peak hours;95.38461538461539;650;620;724
2021-11;25-27;Daluren;Heures creuses;Off-peak hours;90.54054054054053;1554;1407;3400
2019-03;94;Avondspits;Pointe du soir;Evening peak hour;90.37433155080214;187;169;329
2021-11;36-36C;Weekends;Weekends;Weekends;93.32897318508829;1529;1427;2243
2019-03;94;Weekends;Weekends;Weekends;94.86301369863014;292;277;417
2021-11;36-36C;Daluren;Heures creuses;Off-peak hours;94.36710909679508;3089;2915;4194
2019-03;94;Daluren;Heures creuses;Off-peak hours;92.6027397260274;730;676;1093
2021-11;50;Avondspits;Pointe du soir;Evening peak hour;93.33333333333333;60;56;128
2019-03;96;Ochtendspits;Pointe du matin;Morning peak hour;78.67647058823529;408;321;1602
2021-11;50;Weekends;Weekends;Weekends;96.66666666666667;180;174;237
2019-03;96;Weekends;Weekends;Weekends;92.4496644295302;596;551;987
2021-11;89;Daluren;Heures creuses;Off-peak hours;91.84615384615384;650;597;1275
2019-03;96;Daluren;Heures creuses;Off-peak hours;92.90718038528897;1142;1061;1721
2021-11;94;Ochtendspits;Pointe du matin;Morning peak hour;66.89895470383276;287;192;1227
2019-03;124;Ochtendspits;Pointe du matin;Morning peak hour;88.27361563517914;307;271;718
2021-11;94;Avondspits;Pointe du soir;Evening peak hour;87.57062146892656;177;155;430
2019-03;124;Avondspits;Pointe du soir;Evening peak hour;96.41434262948208;251;242;280
2021-11;96;Avondspits;Pointe du soir;Evening peak hour;92.64214046822742;299;277;756
2019-03;124;Weekends;Weekends;Weekends;96.6903073286052;423;409;517
2021-11;96;Daluren;Heures creuses;Off-peak hours;92.64029438822448;1087;1007;2015
2019-03;161;Daluren;Heures creuses;Off-peak hours;83.85269121813032;706;592;2163
2021-11;124;Ochtendspits;Pointe du matin;Morning peak hour;86.22047244094489;254;219;650
2019-03;162;Ochtendspits;Pointe du matin;Morning peak hour;80.95238095238095;84;68;330
2021-11;161;Ochtendspits;Pointe du matin;Morning peak hour;81.12244897959184;196;159;723
2019-03;162;Weekends;Weekends;Weekends;76.36363636363637;165;126;757
2021-11;161;Weekends;Weekends;Weekends;88.79056047197639;339;301;805
2019-03;162;Daluren;Heures creuses;Off-peak hours;79.1095890410959;292;231;1275
2021-11;162;Ochtendspits;Pointe du matin;Morning peak hour;75.36231884057972;69;52;397
2019-04;25-27;Daluren;Heures creuses;Off-peak hours;86.95121951219512;1640;1426;4310
2021-11;162;Avondspits;Pointe du soir;Evening peak hour;91.66666666666666;48;44;87
2019-04;36-36C;Weekends;Weekends;Weekends;91.19448698315466;1306;1191;2521
2021-11;162;Daluren;Heures creuses;Off-peak hours;86.22222222222223;225;194;533
2019-04;50A;Ochtendspits;Pointe du matin;Morning peak hour;92.63698630136986;584;541;1068
2021-12;25-27;Avondspits;Pointe du soir;Evening peak hour;85.61643835616438;438;375;1190
2019-04;50;Ochtendspits;Pointe du matin;Morning peak hour;87.61904761904762;105;92;264
2021-12;25-27;Daluren;Heures creuses;Off-peak hours;88.56269113149847;1635;1448;3787
2019-04;50;Daluren;Heures creuses;Off-peak hours;97.60956175298804;251;245;385
2021-12;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;93.77049180327869;915;858;1371
2019-04;60;Ochtendspits;Pointe du matin;Morning peak hour;88.63636363636364;220;195;519
2021-12;36-36C;Weekends;Weekends;Weekends;94.11764705882352;1292;1216;1680
2019-04;96;Daluren;Heures creuses;Off-peak hours;94.33304272013949;1147;1082;1561
2021-12;50A;Ochtendspits;Pointe du matin;Morning peak hour;87.7659574468085;564;495;1274
2019-04;124;Weekends;Weekends;Weekends;96.49595687331536;371;358;457
2021-12;50A;Avondspits;Pointe du soir;Evening peak hour;88.80778588807786;411;365;1083
2019-04;124;Daluren;Heures creuses;Off-peak hours;93.04347826086956;920;856;1355
2021-12;50;Ochtendspits;Pointe du matin;Morning peak hour;88.49557522123894;113;100;234
2019-04;161;Ochtendspits;Pointe du matin;Morning peak hour;87.16814159292035;226;197;567
2021-12;94;Avondspits;Pointe du soir;Evening peak hour;91.17647058823529;204;186;403
2019-04;161;Daluren;Heures creuses;Off-peak hours;87.24928366762178;698;609;1642
2021-12;94;Daluren;Heures creuses;Off-peak hours;90.86357947434293;799;726;1592
2019-04;162;Ochtendspits;Pointe du matin;Morning peak hour;85.54216867469879;83;71;365
2021-12;96;Ochtendspits;Pointe du matin;Morning peak hour;88.36565096952909;361;319;884
2019-04;162;Avondspits;Pointe du soir;Evening peak hour;84.12698412698413;63;53;239
2021-12;96;Avondspits;Pointe du soir;Evening peak hour;87.20930232558139;344;300;1021
2019-04;162;Daluren;Heures creuses;Off-peak hours;82.15613382899627;269;221;1124
2021-12;124;Ochtendspits;Pointe du matin;Morning peak hour;89.39393939393939;264;236;557
2019-05;25-27;Weekends;Weekends;Weekends;88.07495741056218;587;517;1223
2021-12;124;Avondspits;Pointe du soir;Evening peak hour;91.97080291970804;274;252;517
2019-05;36-36C;Weekends;Weekends;Weekends;93.22709163346613;1506;1404;2379
2021-12;124;Weekends;Weekends;Weekends;95.46827794561933;331;316;462
2019-05;36-36C;Daluren;Heures creuses;Off-peak hours;91.136;3125;2848;6605
2021-12;161;Ochtendspits;Pointe du matin;Morning peak hour;90.29126213592234;206;186;418
2019-05;50A;Ochtendspits;Pointe du matin;Morning peak hour;91.91564147627417;569;523;1156
2021-12;161;Avondspits;Pointe du soir;Evening peak hour;88.3495145631068;206;182;524
2019-05;50A;Avondspits;Pointe du soir;Evening peak hour;92.7027027027027;370;343;661
2021-12;161;Daluren;Heures creuses;Off-peak hours;90.12987012987013;770;694;1513
2019-05;50;Ochtendspits;Pointe du matin;Morning peak hour;93.87755102040816;98;92;203
2021-12;162;Avondspits;Pointe du soir;Evening peak hour;94.11764705882352;68;64;70
2019-05;60;Ochtendspits;Pointe du matin;Morning peak hour;86.3013698630137;219;189;648
2021-12;162;Weekends;Weekends;Weekends;91.34615384615384;104;95;170
2019-05;94;Ochtendspits;Pointe du matin;Morning peak hour;72.72727272727273;286;208;1135
2022-01;25-27;Ochtendspits;Pointe du matin;Morning peak hour;85.35980148883374;403;344;1246
2019-05;94;Avondspits;Pointe du soir;Evening peak hour;84.06593406593407;182;153;714
2022-01;25-27;Daluren;Heures creuses;Off-peak hours;91.23904881101377;1598;1458;3161
2019-05;94;Daluren;Heures creuses;Off-peak hours;88.82602545968882;707;628;1678
2022-01;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;93.38942307692307;832;777;1305
2019-05;96;Avondspits;Pointe du soir;Evening peak hour;82.6086956521739;299;247;1248
2022-01;36-36C;Avondspits;Pointe du soir;Evening peak hour;93.23308270676691;798;744;1442
2019-05;96;Weekends;Weekends;Weekends;96.3917525773196;582;561;602
2022-01;36-36C;Weekends;Weekends;Weekends;96.75810473815461;1604;1552;1230
2019-05;161;Avondspits;Pointe du soir;Evening peak hour;69.10112359550563;178;123;837
2022-01;60;Ochtendspits;Pointe du matin;Morning peak hour;89.78494623655914;186;167;331
2019-05;161;Weekends;Weekends;Weekends;80.32786885245902;244;196;904
2022-01;60;Avondspits;Pointe du soir;Evening peak hour;94.68085106382979;188;178;242
2019-06;25-27;Avondspits;Pointe du soir;Evening peak hour;75.1937984496124;387;291;1770
2022-01;89;Ochtendspits;Pointe du matin;Morning peak hour;91.2;250;228;505
2019-06;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;86.95121951219512;820;713;1980
2022-01;94;Avondspits;Pointe du soir;Evening peak hour;92.5531914893617;188;174;335
2019-06;36-36C;Weekends;Weekends;Weekends;88.55009334163036;1607;1423;3655
2022-01;94;Weekends;Weekends;Weekends;96.93877551020408;294;285;207
2019-06;36-36C;Daluren;Heures creuses;Off-peak hours;90.52810902896081;2935;2657;5891
2022-01;96;Daluren;Heures creuses;Off-peak hours;95.03484320557492;1148;1091;1649
2019-06;50A;Ochtendspits;Pointe du matin;Morning peak hour;90.97605893186004;543;494;1099
2022-01;124;Ochtendspits;Pointe du matin;Morning peak hour;87.6923076923077;260;228;523
2022-01;124;Daluren;Heures creuses;Off-peak hours;94.880174291939;918;871;1117
2022-01;161;Ochtendspits;Pointe du matin;Morning peak hour;92.51336898395722;187;173;337
2022-01;161;Avondspits;Pointe du soir;Evening peak hour;90.86021505376344;186;169;419
2022-01;162;Ochtendspits;Pointe du matin;Morning peak hour;88.75;80;71;262
2022-01;162;Avondspits;Pointe du soir;Evening peak hour;98.36065573770492;61;60;34
2022-01;162;Weekends;Weekends;Weekends;98.71794871794873;156;154;103
2022-02;25-27;Ochtendspits;Pointe du matin;Morning peak hour;87.26287262872629;369;322;917
2022-02;25-27;Daluren;Heures creuses;Off-peak hours;90.27576197387518;1378;1244;3122
2022-02;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;91.87192118226602;812;746;1459
2022-02;36-36C;Avondspits;Pointe du soir;Evening peak hour;91.84782608695652;736;676;1929
2022-02;36-36C;Daluren;Heures creuses;Off-peak hours;94.16010498687663;3048;2870;4358
2022-02;50A;Weekends;Weekends;Weekends;85.86387434554975;573;492;2058
2022-02;60;Ochtendspits;Pointe du matin;Morning peak hour;91.62011173184358;179;164;258
2022-02;60;Weekends;Weekends;Weekends;96.95817490494296;263;255;240
2022-02;60;Daluren;Heures creuses;Off-peak hours;96.53465346534654;606;585;440
2022-02;89;Weekends;Weekends;Weekends;93.00411522633745;243;226;392
2022-02;89;Daluren;Heures creuses;Off-peak hours;91.26691266912668;813;742;1645
2022-02;96;Ochtendspits;Pointe du matin;Morning peak hour;85.03937007874016;381;324;1056
2022-02;96;Avondspits;Pointe du soir;Evening peak hour;77.00348432055749;287;221;1478
2022-02;96;Weekends;Weekends;Weekends;96.6903073286052;423;409;454
2022-02;124;Ochtendspits;Pointe du matin;Morning peak hour;87.890625;256;225;575
2022-02;124;Avondspits;Pointe du soir;Evening peak hour;79.13043478260869;230;182;1127
2022-02;124;Daluren;Heures creuses;Off-peak hours;88.52071005917159;845;748;2138
2022-02;161;Avondspits;Pointe du soir;Evening peak hour;90.3409090909091;176;159;458
2022-02;161;Weekends;Weekends;Weekends;93.22033898305084;236;220;384
2022-02;162;Ochtendspits;Pointe du matin;Morning peak hour;91.25;80;73;156
2022-03;25-27;Ochtendspits;Pointe du matin;Morning peak hour;86.01398601398601;429;369;1233
2022-03;25-27;Daluren;Heures creuses;Off-peak hours;84.75533249686323;1594;1351;5139
2022-03;36-36C;Avondspits;Pointe du soir;Evening peak hour;93.15849486887116;877;817;1512
2022-03;36-36C;Daluren;Heures creuses;Off-peak hours;93.17673378076063;3576;3332;6379
2022-03;50A;Ochtendspits;Pointe du matin;Morning peak hour;85.66610455311972;593;508;1681
2022-03;50A;Daluren;Heures creuses;Off-peak hours;90.71170084439083;1658;1504;3931
2022-03;60;Avondspits;Pointe du soir;Evening peak hour;91.2621359223301;206;188;375
2022-03;60;Daluren;Heures creuses;Off-peak hours;94.51476793248945;711;672;929
2022-03;89;Ochtendspits;Pointe du matin;Morning peak hour;90.47619047619048;273;247;557
2022-03;89;Avondspits;Pointe du soir;Evening peak hour;91.17647058823529;272;248;674
2022-03;96;Ochtendspits;Pointe du matin;Morning peak hour;81.81818181818183;451;369;1491
2022-03;124;Avondspits;Pointe du soir;Evening peak hour;80.53435114503816;262;211;1190
2022-03;161;Ochtendspits;Pointe du matin;Morning peak hour;95.11111111111111;225;214;354
2022-03;161;Weekends;Weekends;Weekends;96.69117647058823;272;263;283
2022-03;161;Daluren;Heures creuses;Off-peak hours;88.44155844155844;770;681;2172
2022-03;162;Avondspits;Pointe du soir;Evening peak hour;94.02985074626866;67;63;117
2022-03;162;Weekends;Weekends;Weekends;94.44444444444444;126;119;256
2022-04;25-27;Avondspits;Pointe du soir;Evening peak hour;80.3763440860215;372;299;1467
2022-04;36-36C;Avondspits;Pointe du soir;Evening peak hour;88.75661375661376;756;671;1716
2022-04;36-36C;Daluren;Heures creuses;Off-peak hours;92.58659760440273;3089;2860;6136
2022-04;50A;Weekends;Weekends;Weekends;93.27036599763872;847;790;1353
2022-04;50;Ochtendspits;Pointe du matin;Morning peak hour;92.92929292929293;99;92;199
2022-04;60;Daluren;Heures creuses;Off-peak hours;94.73684210526315;608;576;763
2022-04;89;Weekends;Weekends;Weekends;98.28080229226362;349;343;228
2022-04;94;Avondspits;Pointe du soir;Evening peak hour;81.46067415730337;178;145;584
2022-04;96;Daluren;Heures creuses;Off-peak hours;91.28440366972477;1090;995;2576
2022-04;124;Weekends;Weekends;Weekends;79.28571428571428;140;111;510
2022-04;124;Daluren;Heures creuses;Off-peak hours;83.33333333333334;648;540;1990
2022-04;161;Ochtendspits;Pointe du matin;Morning peak hour;87.17948717948718;195;170;504
2022-04;161;Daluren;Heures creuses;Off-peak hours;88.57566765578635;674;597;1675
2022-04;162;Avondspits;Pointe du soir;Evening peak hour;93.33333333333333;60;56;88
2022-04;162;Daluren;Heures creuses;Off-peak hours;90.69767441860465;258;234;523
2022-05;25-27;Weekends;Weekends;Weekends;96.83860232945092;601;582;398
2022-05;25-27;Daluren;Heures creuses;Off-peak hours;85.58495821727018;1436;1229;4023
2022-05;50;Weekends;Weekends;Weekends;95.55555555555556;180;172;282
2022-05;50;Daluren;Heures creuses;Off-peak hours;92.5925925925926;243;225;578
2022-05;60;Avondspits;Pointe du soir;Evening peak hour;75.0;184;138;887
2022-05;60;Weekends;Weekends;Weekends;95.63758389261746;298;285;285
2022-05;60;Daluren;Heures creuses;Off-peak hours;94.16531604538088;617;581;703
2022-05;94;Weekends;Weekends;Weekends;95.59322033898306;295;282;269
2022-05;96;Ochtendspits;Pointe du matin;Morning peak hour;81.51041666666666;384;313;1292
2022-05;96;Daluren;Heures creuses;Off-peak hours;89.40639269406392;1095;979;2628
2022-05;124;Daluren;Heures creuses;Off-peak hours;87.03071672354949;879;765;2452
2022-05;161;Avondspits;Pointe du soir;Evening peak hour;81.5028901734104;173;141;609
2022-05;161;Daluren;Heures creuses;Off-peak hours;90.88191330343797;669;608;1306
2022-05;162;Daluren;Heures creuses;Off-peak hours;92.4187725631769;277;256;539
2022-06;25-27;Ochtendspits;Pointe du matin;Morning peak hour;87.46594005449592;367;321;831
2022-06;25-27;Avondspits;Pointe du soir;Evening peak hour;74.48453608247422;388;289;1751
2022-06;25-27;Weekends;Weekends;Weekends;82.35294117647058;442;364;1488
2022-06;36-36C;Daluren;Heures creuses;Off-peak hours;89.98752339363692;3206;2885;7051
2022-06;50A;Avondspits;Pointe du soir;Evening peak hour;87.67123287671232;365;320;1157
2022-06;89;Daluren;Heures creuses;Off-peak hours;90.40462427745665;865;782;2335
2022-06;94;Ochtendspits;Pointe du matin;Morning peak hour;82.17821782178217;303;249;939
2022-06;94;Avondspits;Pointe du soir;Evening peak hour;86.09625668449198;187;161;564
2022-06;96;Avondspits;Pointe du soir;Evening peak hour;72.31270358306189;307;222;1545
2022-06;96;Weekends;Weekends;Weekends;92.91666666666667;480;446;729
2022-06;124;Daluren;Heures creuses;Off-peak hours;83.92070484581498;908;762;2761
2022-06;161;Ochtendspits;Pointe du matin;Morning peak hour;90.9090909090909;209;190;504
2022-06;161;Weekends;Weekends;Weekends;90.27237354085604;257;232;569
2022-06;162;Ochtendspits;Pointe du matin;Morning peak hour;83.33333333333334;84;70;230
2022-06;162;Avondspits;Pointe du soir;Evening peak hour;80.95238095238095;63;51;287
2022-06;162;Daluren;Heures creuses;Off-peak hours;89.1156462585034;294;262;688
2019-07;94;Weekends;Weekends;Weekends;97.107438;242;235;168
2022-07;36-36C;Avondspits;Pointe du soir;Evening peak hour;90.83665338645417;753;684;1447
2022-07;36-36C;Daluren;Heures creuses;Off-peak hours;89.73607038123167;3069;2754;7358
2022-07;50A;Weekends;Weekends;Weekends;95.90075512405609;927;889;839
2019-07;124;Avondspits;Pointe du soir;Evening peak hour;94.79553899999999;269;255;528
2022-07;50;Ochtendspits;Pointe du matin;Morning peak hour;93.6842105263158;95;89;125
2022-07;60;Weekends;Weekends;Weekends;97.22222222222221;360;350;379
2022-07;89;Ochtendspits;Pointe du matin;Morning peak hour;94.04255319148936;235;221;363
2019-07;162;Avondspits;Pointe du soir;Evening peak hour;91.0447761;67;61;150
2022-07;89;Daluren;Heures creuses;Off-peak hours;91.91797346200241;829;762;1889
2019-07;162;Weekends;Weekends;Weekends;90.9090909;121;110;214
2022-08;25-27;Avondspits;Pointe du soir;Evening peak hour;88.48039215686273;408;361;965
2022-08;25-27;Daluren;Heures creuses;Off-peak hours;91.24839124839124;1554;1418;2891
2022-08;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;94.3089430894309;861;812;1299
2022-08;50A;Ochtendspits;Pointe du matin;Morning peak hour;92.28070175438596;570;526;986
2022-08;50A;Avondspits;Pointe du soir;Evening peak hour;87.8048780487805;410;360;990
2022-08;50A;Weekends;Weekends;Weekends;96.05781865965835;761;731;704
2022-08;50A;Daluren;Heures creuses;Off-peak hours;90.5672402804334;1569;1421;3090
2019-08;36-36C;Avondspits;Pointe du soir;Evening peak hour;91.39650872817955;802;733;1466
2022-08;50;Daluren;Heures creuses;Off-peak hours;97.6923076923077;260;254;359
2022-08;60;Ochtendspits;Pointe du matin;Morning peak hour;92.89340101522842;197;183;247
2022-08;60;Daluren;Heures creuses;Off-peak hours;96.01769911504425;678;651;646
2022-08;89;Avondspits;Pointe du soir;Evening peak hour;91.796875;256;235;558
2022-08;94;Avondspits;Pointe du soir;Evening peak hour;87.17948717948718;195;170;631
2022-08;94;Weekends;Weekends;Weekends;94.44444444444444;288;272;268
2019-08;50A;Avondspits;Pointe du soir;Evening peak hour;93.18181818181817;396;369;587
2022-08;96;Avondspits;Pointe du soir;Evening peak hour;91.76029962546816;267;245;648
2022-08;96;Weekends;Weekends;Weekends;96.08610567514677;511;491;763
2019-08;60;Avondspits;Pointe du soir;Evening peak hour;94.6236559139785;186;176;216
2022-08;124;Daluren;Heures creuses;Off-peak hours;92.85714285714286;952;884;1512
2019-08;94;Weekends;Weekends;Weekends;98.0456026058632;307;301;199
2022-08;161;Avondspits;Pointe du soir;Evening peak hour;80.9278350515464;194;157;655
2019-08;94;Daluren;Heures creuses;Off-peak hours;94.62068965517241;725;686;857
2022-08;161;Weekends;Weekends;Weekends;93.93939393939394;297;279;426
2022-08;161;Daluren;Heures creuses;Off-peak hours;91.25168236877523;743;678;1461
2022-08;162;Weekends;Weekends;Weekends;91.26984126984127;126;115;227
2019-08;161;Weekends;Weekends;Weekends;92.21183800623052;321;296;579
2022-08;162;Daluren;Heures creuses;Off-peak hours;91.07806691449815;269;245;630
2022-09;50A;Weekends;Weekends;Weekends;93.83259911894272;681;639;1091
2022-09;60;Ochtendspits;Pointe du matin;Morning peak hour;88.65979381443299;194;172;579
2019-09;25-27;Weekends;Weekends;Weekends;97.24770642201835;545;530;531
2019-09;36-36C;Weekends;Weekends;Weekends;85.9375;1344;1155;3306
2019-09;50A;Ochtendspits;Pointe du matin;Morning peak hour;89.45634266886327;607;543;1411
2019-09;50;Ochtendspits;Pointe du matin;Morning peak hour;88.57142857142857;105;93;319
2019-09;161;Ochtendspits;Pointe du matin;Morning peak hour;80.78602620087337;229;185;765
2019-09;161;Weekends;Weekends;Weekends;92.97658862876254;299;278;435
2019-10;25-27;Ochtendspits;Pointe du matin;Morning peak hour;83.76237623762376;505;423;1732
2019-10;25-27;Weekends;Weekends;Weekends;94.6938775510204;490;464;593
2019-10;50A;Ochtendspits;Pointe du matin;Morning peak hour;82.54237288135593;590;487;1890
2019-10;50A;Daluren;Heures creuses;Off-peak hours;91.73300673606859;1633;1498;3236
2019-10;60;Ochtendspits;Pointe du matin;Morning peak hour;78.99159663865547;238;188;817
2019-10;89;Weekends;Weekends;Weekends;90.22556390977444;133;120;367
2019-10;96;Avondspits;Pointe du soir;Evening peak hour;83.96501457725948;343;288;1162
2019-10;161;Ochtendspits;Pointe du matin;Morning peak hour;77.96610169491525;236;184;1028
2019-10;161;Daluren;Heures creuses;Off-peak hours;81.4621409921671;766;624;2372
2019-11;50;Ochtendspits;Pointe du matin;Morning peak hour;87.34177215189874;79;69;250
2019-11;60;Weekends;Weekends;Weekends;95.73170731707317;164;157;221
2019-11;89;Ochtendspits;Pointe du matin;Morning peak hour;76.78571428571429;224;172;903
2019-11;89;Avondspits;Pointe du soir;Evening peak hour;89.28571428571429;112;100;321
2019-11;89;Weekends;Weekends;Weekends;95.18072289156626;83;79;139
2019-11;89;Daluren;Heures creuses;Off-peak hours;91.75475687103594;473;434;957
2019-11;94;Weekends;Weekends;Weekends;96.27329192546584;161;155;175
2019-11;96;Ochtendspits;Pointe du matin;Morning peak hour;60.3399433427762;353;213;2287
2019-11;96;Weekends;Weekends;Weekends;93.91304347826087;230;216;383
2019-11;96;Daluren;Heures creuses;Off-peak hours;90.65238558909445;1027;931;1967
2019-11;124;Avondspits;Pointe du soir;Evening peak hour;90.54054054054053;222;201;615
2019-11;161;Weekends;Weekends;Weekends;89.6103896103896;231;207;537
2019-11;162;Ochtendspits;Pointe du matin;Morning peak hour;58.57142857142858;70;41;563
2019-11;162;Avondspits;Pointe du soir;Evening peak hour;82.14285714285714;56;46;193
2019-12;25-27;Weekends;Weekends;Weekends;95.06802721088435;588;559;784
2019-12;50A;Weekends;Weekends;Weekends;95.54513481828839;853;815;1072
2019-12;50;Avondspits;Pointe du soir;Evening peak hour;90.32258064516128;62;56;159
2019-12;50;Weekends;Weekends;Weekends;92.17877094972067;179;165;345
2019-12;50;Daluren;Heures creuses;Off-peak hours;97.48953974895397;239;233;310
2019-12;94;Daluren;Heures creuses;Off-peak hours;90.36496350364963;685;619;1359
2019-12;161;Ochtendspits;Pointe du matin;Morning peak hour;75.35545023696683;211;159;880
2019-12;161;Avondspits;Pointe du soir;Evening peak hour;79.8913043478261;184;147;654
2019-12;162;Avondspits;Pointe du soir;Evening peak hour;83.87096774193549;62;52;191
2019-12;162;Daluren;Heures creuses;Off-peak hours;78.16091954022988;261;204;1173
2020-01;25-27;Avondspits;Pointe du soir;Evening peak hour;83.51648351648352;455;380;1455
2020-01;25-27;Weekends;Weekends;Weekends;95.39347408829175;521;497;788
2020-01;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;88.26583592938732;963;850;2209
2020-01;36-36C;Avondspits;Pointe du soir;Evening peak hour;93.10761789600967;827;770;1280
2020-01;50A;Ochtendspits;Pointe du matin;Morning peak hour;88.53503184713377;628;556;1651
2020-01;50;Weekends;Weekends;Weekends;99.38271604938271;162;161;139
2020-01;60;Ochtendspits;Pointe du matin;Morning peak hour;77.5;240;186;774
2020-01;60;Daluren;Heures creuses;Off-peak hours;93.65781710914455;678;635;834
2020-01;94;Ochtendspits;Pointe du matin;Morning peak hour;78.52564102564102;312;245;1095
2020-01;96;Ochtendspits;Pointe du matin;Morning peak hour;78.4543325526932;427;335;1574
2020-01;96;Daluren;Heures creuses;Off-peak hours;96.15705931495405;1197;1151;1374
2020-01;124;Avondspits;Pointe du soir;Evening peak hour;94.65648854961832;262;248;366
2020-01;161;Ochtendspits;Pointe du matin;Morning peak hour;84.61538461538461;234;198;665
2020-01;161;Avondspits;Pointe du soir;Evening peak hour;87.17948717948718;195;170;542
2020-01;162;Ochtendspits;Pointe du matin;Morning peak hour;83.13253012048193;83;69;275
2020-01;162;Avondspits;Pointe du soir;Evening peak hour;93.84615384615384;65;61;102
2020-02;25-27;Daluren;Heures creuses;Off-peak hours;84.070796460177;1582;1330;4906
2020-02;50A;Weekends;Weekends;Weekends;86.35703918722787;689;595;2366
2020-02;50A;Daluren;Heures creuses;Off-peak hours;93.07692307692308;1430;1331;2205
2020-02;50;Daluren;Heures creuses;Off-peak hours;97.5;240;234;257
2020-02;60;Weekends;Weekends;Weekends;92.72030651340997;261;242;446
2020-02;60;Daluren;Heures creuses;Off-peak hours;97.06362153344209;613;595;545
2020-02;89;Ochtendspits;Pointe du matin;Morning peak hour;86.8;250;217;594
2020-02;89;Avondspits;Pointe du soir;Evening peak hour;95.7983193277311;119;114;174
2020-02;89;Weekends;Weekends;Weekends;90.66666666666666;150;136;369
2020-02;96;Ochtendspits;Pointe du matin;Morning peak hour;83.03341902313625;389;323;1272
2020-02;162;Ochtendspits;Pointe du matin;Morning peak hour;82.27848101265823;79;65;411
2020-02;162;Daluren;Heures creuses;Off-peak hours;81.88405797101449;276;226;920
2020-03;25-27;Ochtendspits;Pointe du matin;Morning peak hour;87.29016786570743;417;364;1161
2020-03;25-27;Avondspits;Pointe du soir;Evening peak hour;84.42211055276381;398;336;1033
2020-03;36-36C;Weekends;Weekends;Weekends;95.88189588189589;1287;1234;1380
2020-03;50A;Avondspits;Pointe du soir;Evening peak hour;97.10144927536231;345;335;354
2020-03;50A;Daluren;Heures creuses;Off-peak hours;96.40122511485451;1306;1259;1332
2020-03;50;Ochtendspits;Pointe du matin;Morning peak hour;90.47619047619048;84;76;171
2020-03;50;Weekends;Weekends;Weekends;96.5986394557823;147;142;181
2020-03;60;Avondspits;Pointe du soir;Evening peak hour;91.91919191919192;198;182;298
2020-03;60;Daluren;Heures creuses;Off-peak hours;96.99115044247787;565;548;412
