Mois;Ligne;Instant;Instant;Instant;Ponctualité;Nombre de trains comptabilisés;Nombre de trains arrivés à Bruxelles avec moins de 6 min. de retard;Minutes de retard
2020-10;50;Avondspits;Pointe du soir;Evening peak hour;100.0;66;66;88
2020-10;60;Ochtendspits;Pointe du matin;Morning peak hour;90.57591623036649;191;173;296
2020-10;60;Daluren;Heures creuses;Off-peak hours;95.51569506726457;669;639;830
2020-10;89;Daluren;Heures creuses;Off-peak hours;97.26277372262774;548;533;523
2020-10;94;Daluren;Heures creuses;Off-peak hours;91.73228346456693;762;699;1240
2017-12;94;Avondspits;Pointe du soir;Evening peak hour;85.22727272727273;176;150;584
2017-12;94;Daluren;Heures creuses;Off-peak hours;87.55490483162518;683;598;1675
2017-12;96;Ochtendspits;Pointe du matin;Morning peak hour;75.73333333333333;375;284;1543
2017-12;96;Weekends;Weekends;Weekends;96.70710571923743;577;558;491
2017-12;124;Avondspits;Pointe du soir;Evening peak hour;82.17391304347827;230;189;867
2017-12;161;Weekends;Weekends;Weekends;92.0;375;345;553
2017-12;161;Daluren;Heures creuses;Off-peak hours;84.76331360946746;676;573;1854
2017-12;162;Ochtendspits;Pointe du matin;Morning peak hour;72.6027397260274;73;53;381
2017-12;162;Daluren;Heures creuses;Off-peak hours;88.84462151394422;251;223;534
2018-01;25-27;Avondspits;Pointe du soir;Evening peak hour;90.8685968819599;449;408;1136
2018-01;25-27;Weekends;Weekends;Weekends;94.9367088607595;553;525;597
2018-01;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;78.46320346320347;924;725;3440
2018-01;36-36C;Avondspits;Pointe du soir;Evening peak hour;90.38004750593825;842;761;1947
2018-01;36-36C;Daluren;Heures creuses;Off-peak hours;88.41481481481482;3375;2984;8451
2018-01;50A;Weekends;Weekends;Weekends;84.07310704960835;766;644;1926
2018-01;60;Avondspits;Pointe du soir;Evening peak hour;87.24489795918367;196;171;543
2018-01;60;Daluren;Heures creuses;Off-peak hours;96.43916913946587;674;650;785
2018-01;94;Ochtendspits;Pointe du matin;Morning peak hour;70.92651757188499;313;222;1422
2018-01;96;Avondspits;Pointe du soir;Evening peak hour;83.74233128834356;326;273;1027
2018-01;124;Daluren;Heures creuses;Off-peak hours;89.45147679324894;948;848;2135
2018-01;162;Weekends;Weekends;Weekends;89.79591836734694;147;132;325
2018-02;25-27;Ochtendspits;Pointe du matin;Morning peak hour;74.04063205417607;443;328;2189
2018-02;36-36C;Weekends;Weekends;Weekends;84.6839546191248;1234;1045;3457
2018-02;50A;Avondspits;Pointe du soir;Evening peak hour;92.48554913294798;346;320;738
2018-02;50;Ochtendspits;Pointe du matin;Morning peak hour;80.20833333333334;96;77;364
2018-02;50;Weekends;Weekends;Weekends;94.73684210526315;76;72;130
2018-02;89;Avondspits;Pointe du soir;Evening peak hour;92.10526315789474;114;105;192
2018-02;89;Daluren;Heures creuses;Off-peak hours;92.0335429769392;477;439;959
