Année;Entité;Entité;Entité;Mois;Nombre de minutes de retard sur les trains voyageurs;Attribution en %
2022;Toe te wijzen;A attribuer;To be imputed;2022-10;752;0.38619952957610487
2023;Derden;Tiers;Third parties;2023-06;70825;36.291851563380725
2023;Infrabel;Infrabel;Infrabel;2023-05;46482;24.53109002438226
2023;Infrabel;Infrabel;Infrabel;2023-11;34089;18.66039708563014
2023;Infrabel;Infrabel;Infrabel;2023-12;25542;17.32788798133022
2023;NMBS;SNCB;SNCB;2023-01;60134;39.72571066174285
2023;NMBS;SNCB;SNCB;2023-02;66802;34.63558544312001
2023;NMBS;SNCB;SNCB;2023-05;65324;34.47504248424653
2023;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2023-02;10125;5.249622804879946
2023;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2023-03;12228;7.064247213989844
2023;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2023-11;6455;3.5334818618247112
2023;Toe te wijzen;A attribuer;To be imputed;2023-03;205;0.1184307064824925
2023;Toe te wijzen;A attribuer;To be imputed;2023-06;398;0.20394150260819663
2023;Toe te wijzen;A attribuer;To be imputed;2023-08;119;0.0946013625776089
2024;Derden;Tiers;Third parties;2024-02;62737;41.11367419426714
2024;Derden;Tiers;Third parties;2024-03;54514;39.250331202119696
2024;Derden;Tiers;Third parties;2024-04;61751;45.19545344760706
2024;Infrabel;Infrabel;Infrabel;2024-01;38639;18.6405190920713
2024;Infrabel;Infrabel;Infrabel;2024-03;32827;23.635591267784108
2024;NMBS;SNCB;SNCB;2024-01;91144;43.9703789468606
2024;NMBS;SNCB;SNCB;2024-02;52184;34.19793700931885
2024;NMBS;SNCB;SNCB;2024-03;45547;32.79404988191925
2024;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2024-02;3207;2.10165537308151
2024;Andere spooroperatoren;Autres opérateurs ferroviaires;Other railway undertakings;2024-05;5408;3.457247882371744
2024;Toe te wijzen;A attribuer;To be imputed;2024-04;284;0.2078591242104647
