FID,the_geom,code,timestamp,air_pressure,air_temperature,relative_humidity,precipitation,wind_speed,wind_direction,qc_flags
aws_10min.fid--18bb3085_190319152d2_-7e4e,POINT (4.358 50.797),6447,2024-06-10T23:00:00,1002.56,9.78,88.93,0,,243.3,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e4d,POINT (3.202 51.348),6418,2024-06-10T23:10:00,1013.24,12.69,65.81,0,6.56,320,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e4c,POINT (4.358 50.797),6447,2024-06-10T23:10:00,1002.56,9.72,89.09,0,,250.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e4b,POINT (5.255 50.194),6472,2024-06-10T23:10:00,980.42,7.13,84.69,0,2.71,265.1,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e4a,POINT (5.255 50.194),6472,2024-06-10T23:20:00,980.42,7.17,85.44,0,2.49,253.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e49,POINT (3.202 51.348),6418,2024-06-10T23:20:00,1013.24,12.65,65.74,0,5.75,317.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e48,POINT (4.358 50.797),6447,2024-06-10T23:20:00,1002.56,9.58,89.37,0,,255.9,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e47,POINT (3.202 51.348),6418,2024-06-10T23:30:00,1013.24,12.62,65.81,0,5.5,311.8,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e46,POINT (5.255 50.194),6472,2024-06-10T23:30:00,980.44,7.35,86.07,0,2.22,253.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e45,POINT (4.358 50.797),6447,2024-06-10T23:30:00,1002.58,9.42,89.95,0,,255.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e44,POINT (5.255 50.194),6472,2024-06-10T23:40:00,980.54,7.24,86.39,0,2.39,266.3,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e43,POINT (4.358 50.797),6447,2024-06-10T23:40:00,1002.68,9.14,90.74,0,,251.3,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e42,POINT (3.202 51.348),6418,2024-06-10T23:40:00,1013.24,12.6,65.02,0,5.83,307.7,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e41,POINT (4.358 50.797),6447,2024-06-10T23:50:00,1002.67,8.96,91.56,0,,256.9,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e40,POINT (5.255 50.194),6472,2024-06-10T23:50:00,980.54,6.97,86.73,0,2.23,259.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e3f,POINT (3.202 51.348),6418,2024-06-10T23:50:00,1013.24,12.61,64.68,0,5.37,312.3,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e3e,POINT (3.202 51.348),6418,2024-06-11T00:00:00,1013.24,12.7,65.85,0,5.4,312.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e3d,POINT (4.358 50.797),6447,2024-06-11T00:00:00,1002.68,8.82,92.18,0,,253,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
